"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","244/7210","252/8543",0.968253968253968,1.14726680316139,5.51866476504267,1.03248138886147e-10,2.84886950625919e-08,9.67915621723129e-09,"3304/10565/10093/830/1211/382/100287171/51699/11267/3799/51652/1213/10193/7456/3312/4218/3303/51324/387/4087/4088/5584/375/30844/378/55737/116985/30011/1212/1175/93343/10552/57403/80223/3482/23325/57132/5867/7852/8976/64145/9765/51100/381/57154/10092/23527/9267/10109/8729/23111/55680/7046/10564/6642/10890/50807/867/22841/8394/137492/4193/3579/55738/9135/5337/5869/7037/5868/84313/112936/3106/829/9525/55048/79643/11031/51028/29082/10097/7048/83737/81873/5590/157/3107/29924/7189/10015/56288/8411/2264/3800/5119/10938/119016/9146/9101/3135/2263/11021/9266/3949/408/116988/998/3134/138429/1234/58513/6643/56904/51510/57180/30846/29934/2870/84364/26052/64750/160/6714/25978/1956/11059/84440/5878/8723/8724/9815/3133/27131/10096/22905/10254/9922/9230/377/89853/2868/163/832/26119/80230/9744/64411/2060/9727/116983/116984/147179/642517/253725/8766/23396/858/644150/5371/1601/58533/3265/23362/7251/2348/3560/1785/9798/7879/3480/2869/274/92421/387680/23096/91782/11311/84249/84552/3305/155382/50855/23327/3559/8395/9559/3798/440073/2352/868/10095/116987/2350/9372/23624/27243/9265/28964/2261/51534/116986/27128/161/5662/1173/26286/5156/23550/27183/3105/30845/64744/26056/6456/128866/653857/55616/1759/10617/857/254122/156/6011/51160/6455/8218/8027/4734/9897/9829/273/84612/93661/79720/10094/5338/118813/409/3561/60682/3310/3577/8853/51019/55040",244
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","218/7210","224/8543",0.973214285714286,1.15314419457103,5.4015863897056,1.64199971542317e-10,2.84886950625919e-08,9.67915621723129e-09,"5728/7416/7157/811/4893/1386/5293/821/8295/1739/3383/3115/4087/4088/7132/706/4215/5594/3113/5534/5902/3112/567/917/894/115650/10524/207/3845/3123/5290/5567/4089/2114/1958/4214/2005/3551/3122/6929/6777/292/208/3126/4772/3725/115/5970/1388/3689/7046/958/8517/7094/5605/4792/996/5925/4775/3127/1019/51529/8881/3108/2648/581/5291/51433/3716/472/1385/1147/2113/3106/598/331/3111/9586/7048/5530/5604/11200/3107/5599/3117/1030/1387/6776/64682/4791/3135/5601/3134/1017/10393/7040/29945/545/5295/9134/5901/3119/3569/4055/7538/3133/7419/8061/2033/7124/119504/5532/4773/10000/23373/246184/8498/8503/4488/2353/51434/55697/7043/3683/7850/6416/3554/8829/1870/3932/64764/3718/1959/920/1031/5423/3265/148327/1437/109/2002/3601/3560/8697/896/1869/5296/4085/83660/3600/9020/1871/1026/6908/4790/9519/114/1111/8850/3559/5602/7417/3120/25906/10488/7042/5533/468/4487/5566/5535/200186/293/111/107/108/291/3105/64784/6688/9184/3109/595/4801/83447/2224/6722/25847/890/113/8379/7015/9133/9700/701/7514/84699/4776/5595/10744/2874/4049/3558/898/1029/991/916/915/196883/3561/9232/112/90993/4609/5971/6513/5568/29882",218
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","242/7210","251/8543",0.964143426294821,1.14239629553906,5.32522848535791,6.27810312591104e-10,6.68100927076735e-08,2.26990152684952e-08,"10093/382/71/60/2597/3836/5293/3799/1432/203068/6885/3576/5216/3840/834/387/25828/7132/8795/375/114609/9844/5594/10552/55207/63916/8797/5894/207/8976/5290/4671/3839/51164/23265/3831/8737/10092/6500/3551/1499/208/55845/9267/10109/5058/388/5289/3725/7099/5970/54205/5788/5287/10640/8517/9475/55770/5605/4792/3071/841/84516/57381/3320/391/581/5291/257397/8677/4074/8655/112574/5869/5868/6934/5609/1434/1147/5879/5898/140735/26263/330/578/9367/29108/27072/5286/3553/257364/10097/10383/8743/5608/1778/5604/81873/11035/89953/6281/65082/7189/5599/60412/23118/79026/23191/10627/8772/3800/5294/10392/10006/55860/93408/51429/836/9266/7280/5601/51176/7295/998/57180/114548/5585/1783/10398/10540/23643/9842/5217/7846/3569/5878/399/51135/10096/7124/1639/10381/302/79659/55823/57617/10000/7097/64746/51626/1781/7184/10121/10376/2353/838/3606/596/26084/10671/3654/84790/6416/58484/8717/3265/5600/6993/147700/23207/6932/6237/1785/7879/3326/26999/83658/10120/4646/4790/6188/329/3798/5602/1780/5606/29109/6990/9648/10095/10333/58498/5288/5063/9265/113457/113146/64601/84617/27128/8767/4636/83547/5603/79792/840/29895/653857/51807/338382/929/2316/11258/5420/10382/837/7277/79443/81027/83657/127829/83439/7278/5595/64837/10810/7100/347733/375189/7186/6300/51209/23339/51143/10787/10094/54106/103910/4609/10454/4615/197259",242
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","141/7210","142/8543",0.992957746478873,1.17653786798461,4.93342918219077,7.70145160895372e-10,6.68100927076735e-08,2.26990152684952e-08,"7329/10277/6233/9320/9040/9063/7319/9690/6477/51366/8453/8916/9817/7334/6502/55236/7327/64326/9616/4214/10055/7337/57154/9820/7326/6500/7428/8451/118424/7320/8554/26091/8450/11060/7311/8065/26272/89910/22888/55958/57448/996/867/8452/65264/7323/23291/4193/51529/8881/55284/63893/51433/3093/7328/84447/330/331/83737/7189/7332/27338/51588/7314/64682/23295/4591/23759/8924/9354/10075/54926/10393/134111/9021/55585/29945/8454/55294/64750/6921/10054/11059/119504/9978/8945/1643/25898/90293/246184/1161/51434/389898/5371/997/5071/8651/10401/7317/8697/4281/23221/10273/92912/23327/329/148581/868/6923/25906/51619/7325/23624/8925/51343/51465/672/27339/55070/7322/140739/7321/7318/55120/25847/9246/10477/7316/4734/11065/1642/9886/22954/9039/991/26259/26232/79444/7324/326/29882",141
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","180/7210","184/8543",0.978260869565217,1.15912380148345,5.07456985984085,1.28791374628302e-09,8.93812139920412e-08,3.03676504386732e-08,"9860/4893/2932/6259/54434/5781/5293/85464/387/818/1808/5594/5534/659/25/7852/6093/5894/3845/5290/5170/23380/3983/4690/3688/5058/5062/5880/9475/4775/5291/7976/5879/10154/5336/5530/5998/5590/2773/5921/2043/56288/9037/10627/55558/10512/10507/10298/1020/998/57556/84628/10398/655/5295/1072/6714/5361/1945/2050/5747/1946/817/3984/8440/2534/5532/4773/6585/22854/8503/658/219699/8829/1942/80031/2242/54910/3985/57715/5362/10371/3611/91653/3265/55740/1944/1949/6237/816/7220/5296/815/4756/1969/5727/10501/4233/84552/2048/23365/6586/50855/7222/54437/4917/151449/2051/84448/1943/6092/7223/2042/6405/9901/1630/9423/3897/7474/23654/56920/5533/5063/5535/64218/57689/81029/285220/9353/4636/5578/223117/5364/10505/56924/2044/91584/2045/57522/7224/9723/6387/5365/2049/90249/54361/2041/8482/2047/56896/59277/2046/64221/1948/2770/4776/6091/5595/54961/10500/7869/25791/8633/29984/84612/2771/1947/64101/6608/7225/1073/5335/6469/5881/10509/103910/57144/27289/22885/137970",180
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","154/7210","157/8543",0.980891719745223,1.16224104879105,4.77161597045565,9.79085716905405e-09,5.66237906276959e-07,1.92381754900711e-07,"6566/8754/811/23200/5781/29933/1399/1432/51552/6868/100133941/5175/834/818/9844/5594/383/102/1398/84868/961/23250/4772/1849/55754/1374/5605/4775/89790/23355/3717/177/8398/3690/5869/5868/1844/1847/1385/488/5879/140885/9392/54896/7386/27072/405/10062/3685/5604/65082/23166/55423/1524/286410/286046/836/948/9261/10326/1788/5734/91937/10461/196527/4953/7040/1850/5747/5878/1846/80824/817/489/713/4773/55823/57617/1375/7057/5467/3988/55113/712/4240/5600/1793/240/5743/682/8877/8578/7879/19/816/24145/51761/56848/384/815/2057/64284/575/246/6376/6256/5029/714/121601/338440/51454/64805/7301/558/1051/84466/2621/84465/114786/64601/23659/10396/9023/2056/3693/161291/5603/840/5468/9564/338382/126129/487/5732/203859/5031/4035/3586/4776/5595/55576/63982/5087/6300/3091/23339/1901/7376/6446/23411/5627/26762/5777/6513",154
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","284/7210","300/8543",0.946666666666667,1.12168839574665,4.98998780606599,1.84655135772056e-08,9.15361887327194e-07,3.10998123405569e-07,"3304/7157/4893/1386/51347/1845/1399/1432/6885/6789/23162/3312/3303/10746/3727/7132/11221/4215/673/5594/5534/25780/56034/5579/5894/207/3845/10235/5567/4149/5321/4214/1398/57551/2005/3551/3315/208/5058/4772/1849/3725/5970/5062/7046/5880/4208/8517/374/5605/4775/6197/5494/51701/8681/356/4763/9252/1844/1847/5609/1147/5879/1843/3553/9693/773/4137/369/7048/5530/5608/5604/8912/8569/9448/84451/5921/51776/7189/5495/5599/23118/2264/3164/2322/4791/2260/4217/8649/2263/836/9344/408/5601/998/9261/5228/1649/1435/7040/3082/4216/355/1945/27091/6655/1850/5155/27092/1946/1956/777/1848/1846/80824/51135/5906/7124/55970/1616/2064/5532/22800/8491/55799/4616/10000/1436/23542/7039/26291/2353/6788/5871/8911/1647/2250/7043/8817/3654/6416/3554/1942/2872/7786/8717/51378/9175/5922/5923/783/59283/284/2885/3265/4294/5600/627/2321/5979/1944/9254/2002/2323/6654/3643/2122/6237/7867/4915/3552/3925/2251/3480/776/4803/5778/775/9020/285/5582/2249/1969/11184/2668/5607/4233/4790/3305/9064/1326/80310/115727/3815/5924/5602/93589/8550/5606/1943/2768/7422/781/3556/774/59285/27006/5623/8605/2254/22808/7042/5533/468/5566/5535/5536/8986/5159/2261/2324/6196/27330/3479/10125/2247/5156/4293/5578/8913/5154/8823/4254/785/9048/3791/5603/7423/7424/779/782/6722/929/9479/2316/255189/59284/1950/2066/786/8822/7010/5801/5595/4908/994/7186/5598/2065/2252/4804/6300/2069/26281/51295/4909/5908/5881/2255/409/4609/8074/5971/3310/84867/10454/784/5568/9965/4296/4615/6195/3481",284
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","447/7210","483/8543",0.925465838509317,1.09656791378434,5.08125786136904,2.605070392649e-08,1.1299492828115e-06,3.83905110495642e-07,"5692/317/7416/2521/518/6233/1351/1536/4893/2932/517/3799/4708/4728/374291/5693/29796/5663/1432/203068/5621/1452/4218/4722/4720/27089/818/7132/1329/126328/2776/4723/1345/1349/673/10105/5594/4697/5690/5534/7384/5717/5718/1337/5579/5894/4513/1454/11273/5702/3845/5691/4714/51164/4718/7327/4695/3831/5695/5709/23435/3028/4694/9706/7326/801/5481/1499/7415/4726/522/292/118424/10476/509/55062/7311/6622/3708/8878/5861/2876/1457/7388/5289/51079/5970/54205/572/4696/9776/637/324/6391/5605/342371/841/84516/4716/4710/4713/8678/3092/10280/4698/1327/1347/824/55081/581/177/4701/356/842/7976/5868/5609/5686/7381/4717/4719/488/5879/80208/5683/5707/79139/4707/3064/53349/847/5714/7386/10010/578/598/3709/3553/9861/10383/4137/26100/369/55255/5530/5608/514/5604/89953/11315/8321/8325/5710/5708/506/5599/10023/498/3710/22926/7477/5688/3309/8772/7332/1459/4508/3800/4287/55860/7314/4217/515/351/836/7280/1020/5601/6310/91860/5682/1965/513/1649/1435/4725/2475/140775/7480/4514/4744/2535/10540/5331/4702/81631/355/7846/7482/5719/5704/25978/55567/3569/4512/60673/100506742/7481/6647/22863/203228/1460/7419/7133/9451/10131/143471/9896/7124/4712/817/489/55967/1616/23236/7979/1639/5532/23401/27035/4537/10381/4040/6390/10133/4706/1350/4041/7385/4538/9377/10121/10376/196385/120892/596/6389/10671/516/84790/2878/8408/2905/5664/163688/30849/5700/5687/1857/55669/5332/7855/25981/10297/3265/2903/4294/5600/84134/627/147700/127602/2902/5743/2892/4724/5071/7483/5715/539/7475/4704/7317/1768/5701/816/3552/6261/776/54539/5694/1769/1856/6392/775/6263/2861/815/1770/92552/6311/805/5582/2906/1128/8323/8326/10120/65018/4731/1131/4790/1139/2877/2893/9001/55626/5689/1767/3798/810/5602/83544/57679/7222/9627/808/5606/84557/7417/9217/10975/774/201625/64446/7474/4747/5533/116442/468/29110/4700/8632/51384/170712/51465/50507/5535/113457/4729/9973/2891/4709/8313/293/84617/81029/27429/1855/5684/8322/2911/9821/8324/10452/9927/2081/5578/291/8701/2904/7473/5603/55102/779/4715/840/29982/83447/7318/10126/5705/51807/10213/5713/7476/7802/7494/2882/9246/4705/6531/5173/11258/54361/27123/23130/10382/823/487/4842/7277/6804/7316/5330/2880/6712/80326/7479/440738/9167/8312/81027/22943/5706/6262/5630/7278/2890/5595/493869/64837/1133/56171/347733/7478/7186/6300/2915/90550/5413/27019/4536/5685/4741/84701/1537/5335/11047/4711/8851/1340/341947/7472/4541/1742/643246",447
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","238/7210","250/8543",0.952,1.12800776699029,4.77730351995205,5.6241878883872e-08,2.16843688585596e-06,7.36735723391072e-07,"10093/7416/4735/382/71/6233/7157/60/989/2932/3021/5293/1399/1432/6885/3576/960/5216/834/387/7132/375/23048/7335/7307/9844/5594/10552/8915/9140/63916/6093/207/7334/9181/8976/5290/4671/1398/8737/10092/6500/3551/5481/10670/208/55752/3688/55062/7311/9267/3708/10109/8878/5289/3725/7099/5970/54205/10241/8517/9475/7094/4792/2309/11335/8678/7323/23291/4193/824/5580/581/5291/257397/9252/3020/472/1147/5879/10801/598/29108/3709/10163/5336/3553/10097/26100/81873/84335/2308/7189/5599/3710/23118/664/10627/10392/3099/7314/93408/831/9266/5601/57521/998/9474/10325/57180/340061/114548/23176/3059/2475/10398/5331/81631/5217/8454/5295/6714/5747/1956/1729/22863/87/826/10096/7124/10318/23236/9978/5581/8945/5588/55054/5829/10000/6198/8503/92610/7188/3606/596/389898/58484/3554/4303/113026/10616/8717/30849/5332/3611/8356/5600/1793/2931/10892/64121/1437/3101/7414/8355/23157/115004/5296/83660/8354/81858/3456/4790/8352/58528/5602/124404/84557/10095/51619/8350/6352/80201/58498/5333/51196/718/6199/9265/29110/89869/199746/8290/27128/8767/25851/4636/7322/7321/5603/55072/84812/8358/9564/29895/653857/8968/8351/929/7336/3098/823/837/3678/7316/5330/8357/100132074/440738/5595/55964/7100/375189/7186/6300/2017/4793/10094/5335/8936/3661/103910/54874/81/10454/4615/643246/11146",238
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","141/7210","144/8543",0.979166666666667,1.1601970642626,4.50873125388595,7.17483008402994e-08,2.48966603915839e-06,8.45874704643529e-07,"5692/7416/5293/5693/2776/10105/5690/6667/5717/5718/10524/4800/5579/207/11273/5702/6095/5691/5290/5695/5709/9706/292/208/55062/3708/5289/54205/9776/342371/10528/1600/8678/4976/5291/9698/5686/488/5683/5707/5714/3709/9861/773/26100/5710/5708/5599/3710/5688/23152/4287/4217/5601/6310/3516/5682/2475/5331/115209/5295/5719/5704/60673/22863/7419/143471/489/23236/7979/10000/23369/8503/8408/2905/30849/5700/5687/10939/5332/2903/2902/2892/6511/5715/5701/11317/6261/5296/5694/92552/6311/5582/2906/3748/6908/9519/55626/5689/5602/7222/7417/25814/4654/146227/2891/293/2259/5684/2911/9821/2081/5578/291/2904/55102/29982/83447/5705/10213/5713/3752/7494/5173/23130/487/5330/6712/5706/6315/2890/116444/7186/90550/5685/2959/56652/5649/11047/7436/116443",141
